	species	taxonomyNotes	IM_GS	lfPhenology	Mature Height (m)	Maximum Height (m)	"Height form [Shrub (<10 m), Short Tree (10-25 m), Tall Tree (>25)]"	acorn L min (mm)	acorn L max (mm)	acorn W min (mm)	acorn W max (mm)	Mean acorn volume (cm3)	"Acorn mass (dried, without shell) (g)"	Seed per pound (fresh?)	References used	Comments:	updateDate	updateBy
Castanea_dentata				Deciduous											Observation (MOR)			
Castanopsis_fissa				Evergreen											genus trait (Flora of China)			
Lithocarpus_hancei				Evergreen											genus trait (Flora of China)			
Quercus_acerifolia	acerifolia		-33.60621233	Deciduous	15	15	Short Tree	10.5	20	9	15	1.15	0.61		FNA			
Quercus_acutidens	acutidens		-94.24300471													"HYBRID, TO BE REMOVED FROM TREE (MANOS,MCVAY,HIPP)"		
Quercus_acutifolia	acutifolia	"changed from conspersa 2017-05-22, per Susan Valencia"	27.87486939	Deciduous	3 to 30	30	Tall Tree	10.2	18.9	8.1	14.2	0.95	0.48		common garden in Mexico			
Quercus_acutissima				Deciduous											Cerris group character (Menitsky)			
Quercus_affinis	affinis		12.57698026	Evergreen	6 to 30	30	Tall Tree	11.5	15.9	7.9	13.4	0.81	0.4		common garden in Mexico			
Quercus_agrifolia	agrifolia		-96.29819094	Evergreen	25	25	Tall Tree	15	35	10	15	2.05	1.18	200	FNA			
Quercus_ajoensis	ajoensis		-81.65218258	Evergreen	2 to 3	3	Shrub	12	15	5	8	0.3	0.07					
Quercus_alba	alba		-32.08784748	Deciduous	25	25	Tall Tree	15	28	9	18	2.05	1.18	128	FIA			
Quercus_aliena	aliena		-46.53259628	Deciduous	30	30	Tall Tree	14.4	25	9.9	22	2.62	1.55			"le Hardy de Beaulieu and Lamant, 2010. Menitsky indicates height to 25 m; le Harde de Beaulieu and Lamant, 18 to 30 m"		
Quercus_arizonica	arizonica		-53.72176399	Brevideciduous	18	18	Short Tree	6.6	16.5	5.6	11.4	0.44	0.16		"FIA, common garden"	Hernando had evergreen phenology		
Quercus_arkansana	arkansana		-27.74258164	Deciduous	15	15	Short Tree	10	15	9	15	0.94	0.48		FNA			
Quercus_austrina	austrina		-17.33194254	Deciduous	20 to 25	25	Tall Tree		17		12	1.28	0.69		FNA	No min-max in FNA		
Quercus_baronii				Evergreen											Menitsky			
Quercus_benthamii	benthamii		130.7589344		5 to 15	15	Short Tree	17	22	17	21	3.69	2.22			Data from INBIO		
Quercus_berberidifolia	berberidifolia		-95.51424875	Brevideciduous	1 to 2	2	Shrub	15	30	10	20	2.65	1.56					
Quercus_bicolor	bicolor		-36.77171994	Deciduous	30	30	Tall Tree	12.1	21	9	18	1.58	0.88	120	"FIA, common garden"			
Quercus_boyntonii	boyntonii		-31.22079651	Brevideciduous	1 to 3	3	Shrub	10	17	7	13	0.71	0.33			Rarely a tree		
Quercus_brandegeei	brandegeei		-71.7065954	Brevideciduous	12 to 20	20	Short Tree		15		8	0.5	0.2		Measurements from Camus (1936-1952)	"Evergreen (Trelease), "		
Quercus_buckleyi	buckleyi		-52.65429749	Deciduous	15	15	Short Tree	12	18.5	8	14	0.97	0.49		FNA			
Quercus_canariensis	canariensis		-39.8267009	Deciduous											"Roburoid group character (Guido Grimm, pers.comm.)"			
