"","FID_","latitude","longitude","species","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"2",3550,35.075903,-94.393332,"acerifolia",155,135,37,8070,335,-29,364,199,48,256,48,1026,138,47,25,323,173,264,173
"3",3850,35,-93,"acerifolia",155,133,36,8068,334,-31,365,154,249,255,46,1296,145,73,19,401,277,278,284
"4",3886,35.218548,-93.720566,"acerifolia",155,134,36,8179,337,-30,367,154,47,257,47,1145,138,62,19,350,231,269,231
"5",3887,35.16722,-93.64472,"acerifolia",134,114,34,7733,301,-33,334,129,32,231,32,1339,156,70,19,416,264,308,264
"7",3912,34.5609,-118.1917,"acutidens",138,137,42,6554,318,-1,319,70,224,227,62,343,64,1,83,183,9,17,173
"14",4402,33.63,-117.37,"acutidens",147,143,50,5117,309,24,285,93,213,219,90,640,123,3,86,348,12,24,332
"17",4405,33.4515,-117.46131,"acutidens",161,127,52,4151,292,48,244,117,213,220,114,378,71,2,85,205,9,16,195
"20",4408,33.47933,-117.03483,"acutidens",174,151,51,5155,335,39,296,120,240,244,113,340,65,2,80,183,13,22,172
"23",4411,33.6519,-117.3898,"acutidens",164,145,50,4967,321,36,285,112,227,233,107,419,82,2,86,230,10,20,220
"27",4415,33.6554,-117.4012,"acutidens",154,143,50,5015,314,31,283,101,218,225,98,556,108,3,86,304,12,22,290
"28",4606,33.02338,-117.26487,"acutidens",168,100,52,3214,261,71,190,132,204,212,130,295,61,1,88,168,5,10,153
"30",4608,33.36667,-117.5,"acutidens",157,120,51,3992,282,49,233,115,206,214,112,413,78,2,85,223,9,16,213
"32",4610,33.0093,-117.2493,"acutidens",171,100,52,3226,264,72,192,135,207,215,132,279,58,1,88,160,5,9,146
"34",4612,33.18631,-117.34933,"acutidens",166,104,53,3184,260,66,194,131,202,210,128,293,57,1,85,161,6,12,150
"35",4613,33.34825,-117.48595,"acutidens",162,114,53,3513,270,58,212,123,203,211,121,330,62,2,85,179,8,14,169
"46",4770,33.05,-116.56667,"acutidens",120,141,47,5883,291,-8,299,59,171,201,54,703,129,3,78,371,36,55,340
"47",4771,32.86083,-116.63417,"acutidens",134,153,50,5504,307,4,303,77,206,210,71,595,111,3,79,312,27,38,285
"51",4775,33.08661,-116.50842,"acutidens",161,165,50,5936,349,19,330,100,212,242,92,396,69,2,72,201,20,38,187
"55",4779,32.69312,-116.50207,"acutidens",141,163,51,5544,322,6,316,83,187,218,78,459,86,2,76,242,22,37,217
"58",4782,33.2275,-116.78388,"acutidens",132,147,48,5689,305,2,303,73,207,210,67,618,110,3,78,322,29,43,301
"62",4786,32.99444,-116.53778,"acutidens",120,143,47,5895,292,-9,301,59,171,201,54,694,128,3,78,367,36,54,335
"68",4792,32.9853,-116.6775,"acutidens",144,156,50,5457,320,12,308,88,216,220,81,536,98,3,79,280,24,34,259
"70",4794,32.76038,-116.43827,"acutidens",135,154,49,5836,314,1,313,74,184,215,68,471,87,2,74,245,24,43,220
"77",4802,32.66724,-116.4419,"acutidens",143,165,51,5623,326,6,320,84,190,221,78,429,81,1,77,228,20,39,202
"89",4814,33.11772,-116.724,"acutidens",140,153,49,5560,316,8,308,83,187,217,76,563,102,3,79,294,27,38,273
"91",4816,33.09817,-116.54139,"acutidens",159,164,50,5869,345,17,328,99,209,239,90,412,72,2,73,210,21,38,195
"101",4826,32.69308,-116.57178,"acutidens",138,159,51,5396,314,7,307,82,182,213,77,505,96,2,78,268,23,36,241
"103",4828,32.94689,-116.49464,"acutidens",114,137,46,5899,283,-12,295,52,165,196,49,667,122,3,75,344,37,62,316
"104",4829,32.89841,-116.60322,"acutidens",131,151,49,5630,305,0,305,73,178,209,67,601,112,3,77,316,29,42,288
