"","plot","type","sp","cc.total","cc.planted","cc.weed","block","phyD","trtD","PD_as_designed","PD_planted","PD_SES_planted","MNTD_planted","MNTD_SES_planted","MPD_planted","MPD_SES_planted","PD_observed","PD_SES_observed","MNTD_abundance.weighted_observed","MNTD_SES_abundance.weighted_observed","MNTD_observed","MNTD_SES_observed","MPD_abundance.weighted_observed","MPD_SES_abundance.weighted_observed","MPD_observed","MPD_SES_observed","Change_in_MNTD","Change_in_MNTD_SES","Change_in_MNTD_abundance.weighted","Change_in_MNTD_SES_abundance.weighted","Change_in_MPD","Change_in_MPD_SES","Change_in_MPD_abundance.weighted","Change_in_MPD_SES_abundance.weighted","Change_in_PD","Change_in_PD_SES","SR_planted","SR_observed","Change_in_SR","MNTD_ratio","Abundance_weighted_MNTD_ratio","MPD_ratio","Abundance_weighted_MPD_ratio","PD_ratio","SR_ratio","MNTD_SES_ratio","Abundance_weighted_MNTD_SES_ratio","MPD_SES_ratio","Abundance_weighted_MPD_SES_ratio","PD_SES_ratio","CE","SE","NE"
"3",2,"Plug","ML.7316.rep1","85",NA,NA,"B","M","L",1310.38589918,1123.75784718,0.214856710286582,118.425711796923,0.534754277048623,231.869121540513,-0.862486902438688,1123.75784718,0.257307379225106,57.9150611195968,-1.09119227053193,118.425711796923,0.484302979068138,152.613964335632,-1.44287345088043,231.869121540513,-0.931821176095495,0,-0.0504512979804848,-60.5106506773263,-1.62594654758056,0,-0.0693342736568068,-79.2551572048807,-0.580386548441744,0,0.0424506689385241,13,13,0,1,0.489041275250342,1,0.658190117432118,1,1,0.905655176319614,-2.04054893502557,1.08038878441025,1.67292215893447,1.19757664948841,0.473764128937751,0.171602749206325,0.645366878144076
"12",10,"Seed","LL.653844.rep1","97","75","45","A","L","L",992.05773409,825.51462109,-1.17460351628726,96.1111646981818,-0.57323775478603,211.840838561818,-1.61306296143266,825.51462109,-1.13475377771688,22.3103214445022,-1.97174288075995,96.1111646981818,-0.585959670106765,98.8818921286595,-2.47836838572805,211.840838561818,-1.59003416329465,0,-0.0127219153207354,-73.8008432536797,-1.39850512597392,0,0.0230287981380113,-112.958946433159,-0.865305424295389,0,0.0398497385703775,11,11,0,1,0.232130382714259,1,0.466774455765782,1,1,1.02219308692513,3.43965983450608,0.9857235590373,1.53643623651668,0.966073881085989,NA,NA,NA
"17",14,"Seed","HL.246518.rep1","55","25","35","A","H","L",1594.24542371,1217.56612371,1.80443029020904,165.476479810909,1.80989098393702,274.981090638182,0.619051398763249,986.77277123,0.900631880410034,104.583606607812,-0.415225568135998,152.274262273333,0.775961637896749,150.440418750423,-1.21725356784978,277.503496106667,0.590384970300384,-13.2022175375758,-1.03392934604027,-60.8928732030966,-2.22511655207302,2.52240546848486,-0.028666428462865,-124.540671887759,-1.83630496661303,-230.79335248,-0.903798409799004,11,9,-2,0.920216954381299,0.63201493485552,1.00917301427029,0.547093687065092,0.810446966299655,0.818181818181818,0.428733909823018,-0.229420209184514,0.95369297521961,-1.96632068077324,0.499122568101923,NA,NA,NA
"19",15,"Plug","HH.1372866.rep1","75",NA,NA,"A","H","H",1509.10679414,1270.412017592,1.65461359239766,143.050031598667,1.23097441110663,300.562694962303,1.52006218159401,1246.730818222,1.91782745731921,147.539594225398,0.886788503818601,172.334228585818,2.00129114242915,255.218150369196,1.21716611716252,302.558253131273,1.54064973415672,29.2841969871515,0.770316731322523,4.48956262673138,-0.344185907288029,1.99555816896969,0.0205875525627019,-45.344544593107,-0.302896064431491,-23.6811993700001,0.26321386492155,12,11,-1,1.20471297111845,1.03138456228606,1.00663940735965,0.849134488899914,0.981359433756864,0.916666666666667,1.62577802135628,0.720395562911328,1.0135438884093,0.800734425144464,1.15907875175867,0.465400793572121,0.0130173161031408,0.478418109675262
"27",22,"Plug","MH.1825752.rep1","75",NA,NA,"B","M","H",1298.47288753,752.94965135,-0.440049498940755,102.8920788375,-0.839412248001744,277.3594525875,0.589911806510448,752.94965135,-0.32219461491836,77.3794848557463,-0.901541307020781,102.8920788375,-0.826973873245684,181.120257178348,0.217587852329179,277.3594525875,0.593245394026302,0,0.0124383747560605,-25.5125939817537,-0.0621290590190364,0,0.00333358751585411,-96.2391954091518,-0.372323954181269,0,0.117854884022395,8,8,0,1,0.752045111052267,1,0.653016349320957,1,1,0.985182042809513,1.07401495411455,1.00565099304517,0.368848105645306,0.732178120174926,0.233115506824532,0.104439420771963,0.337554927596495
"29",23,"Seed","ML.1623993.rep1","65","35","45","A","M","L",1243.185589451,1033.473737201,-0.00935944906163017,114.248890861833,0.246696136815963,232.276121397136,-0.781499951246797,715.094347201,-1.22360263011748,66.6119657517857,-1.43570767388446,86.0862748157778,-1.16551772088078,167.289675851824,-1.47250937450828,199.627959878,-1.73193057711516,-28.1626160460556,-1.41221385769674,-47.6369251100476,-1.68240381070043,-32.6481615191364,-0.95043062586836,-64.9864455453124,-0.691009423261485,-318.37939,-1.21424318105585,12,9,-3,0.753497685328832,0.58304255953209,0.859442454425542,0.72021899989366,0.691932771448765,0.75,-4.72450738760561,-5.81974121044106,2.21616210513136,1.88420917001857,130.734471875459,NA,NA,NA
"31",24,"Plug","LH.1211957.rep1","75",NA,NA,"A","L","H",1027.790844931,761.193122621,-1.9013428888947,47.4368753850833,-2.27014488648131,259.592658709561,0.174754715180397,761.193122621,-2.03608142265077,51.058050378904,-1.62161791041729,47.4368753850833,-2.31630608496744,235.803699282181,0.390461651064793,259.592658709561,0.125658115327992,0,-0.0461611984861321,3.62117499382066,0.648526976064019,0,-0.0490965998524051,-23.78895942738,0.215706935884397,0,-0.134738533756068,12,12,0,1,1.07633670987865,1,0.908360430739315,1,1,1.02033403187657,0.714323530658334,0.719054219500038,2.23434114874512,1.07086493159285,0.635677602885414,0.0205335241250027,0.656211127010417
"34",26,"Seed","ML.520465.rep1","75","65","15","A","M","L",1233.49597491,1073.48810991,0.256536862940789,99.9459955741667,-0.327810940089783,273.540551121364,0.649637789937798,871.59394191,-0.374242116165278,72.4325800584348,-0.987907589757606,79.556361489,-1.22281887973622,124.067448158841,-1.91645629171353,259.485910804222,0.100733846413924,-20.3896340851667,-0.89500793964644,-27.5134155157319,-0.660096649667823,-14.0546403171414,-0.548903943523874,-149.473102962523,-2.56609408165133,-201.894168,-0.630778979106067,12,10,-2,0.79599348660211,0.724717179936288,0.948619536447063,0.45356144692344,0.811926963944737,0.833333333333333,3.73025646856481,3.01365045805681,0.155061555799531,-2.95003819266276,-1.45882393615944,NA,NA,NA
"37",28,"Seed","LH.1211957.rep1","85","65","35","A","L","H",1027.790844931,761.193122621,-1.9013428888947,47.4368753850833,-2.27014488648131,259.592658709561,0.174754715180397,761.193122621,-2.03608142265077,44.763131368609,-1.59176633103377,47.4368753850833,-2.31630608496744,153.756923027243,-1.78617165471494,259.592658709561,0.125658115327992,0,-0.0461611984861321,-2.67374401647431,0.678378555447543,0,-0.0490965998524051,-105.835735682318,-1.96092636989534,0,-0.134738533756068,12,12,0,1,0.94363574761682,1,0.592300736821954,1,1,1.02033403187657,0.701173894456129,0.719054219500038,-10.2210212346551,1.07086493159285,NA,NA,NA
"41",31,"Seed","HH.1374866.rep1","85","75","15","A","H","H",1509.10679414,1270.412017592,1.65461359239766,143.050031598667,1.23097441110663,300.562694962303,1.52006218159401,751.73042737,0.790361781269742,234.953804066212,1.32718513564986,181.881561623333,0.6639737782531,179.122307746955,0.309621814138346,282.69973279,0.609344092234473,38.8315300246667,-0.56700063285353,91.9037724675455,0.0962107245432258,-17.862962172303,-0.910718089359541,-121.440387215348,-1.21044036745567,-518.681590222,-0.864251811127915,12,6,-6,1.27145418697711,1.64245894559035,0.940568265883617,0.595956553322163,0.591721754013998,0.5,0.539388773854524,1.07815818401679,0.400867872125786,0.20369022918106,0.477671514909079,NA,NA,NA
"46",35,"Plug","MH.928535.rep1","65",NA,NA,"A","M","H",1284.802442172,807.931535222,-0.918088144631722,92.6671112888,-0.866744070398352,269.661559222178,0.428639418885372,807.931535222,-0.898562435387128,71.3881490665621,-1.1595044294301,92.6671112888,-0.87372608164621,227.162224452903,0.487320614212877,269.661559222178,0.453877760767943,0,-0.00698201124785813,-21.2789622222378,-0.292760359031753,0,0.0252383418825708,-42.4993347692749,0.058681195327505,0,0.0195257092445945,10,10,0,1,0.770372013044399,1,0.84239750414608,1,1,1.00805544737635,1.33777024733172,1.05888012341049,1.13690107055506,0.978732206315084,0.443660451242622,0.0107476467674567,0.454408098010079
"48",36,"Plug","HH.782981.rep1","75",NA,NA,"A","H","H",1500.03625503,1275.8937835,1.33733359614576,133.763187846154,1.10567159038,263.993354410256,0.27424455821512,1168.8983895,0.997643790854063,102.069811953608,-0.157392728935528,127.077554666667,0.639924468595272,175.238713196207,-0.942851373862938,264.719857643939,0.30049978593451,-6.68563317948718,-0.465747121784726,-31.6933758925456,-1.26306431931553,0.72650323368299,0.02625522771939,-88.7546412140495,-1.21709593207806,-106.995394,-0.339689805291695,13,12,-1,0.950018885710345,0.763063542347709,1.00275197546281,0.663799714154466,0.916140829758969,0.923076923076923,0.578765407525161,-0.142350341914307,1.09573654948805,-3.43799483205555,0.745994711962152,0.657601173015053,0.257723729233693,0.915324902248746
"50",37,"Seed","LL.1368877.rep1","75","35","45","B","L","L",1054.530069952,1054.530069952,-0.971385191866037,70.5541155642667,-1.1455639773935,264.556300431695,0.325678707039012,838.408316402,-1.10966524847355,34.471110774885,-1.66825740131728,57.4428816147273,-2.03200970852054,199.38315948178,0.207245908242106,266.435928545818,0.362878594845451,-13.1112339495394,-0.886445731127036,-36.0830047893817,-0.522693423923779,1.87962811412291,0.0371998878064395,-65.1731409499153,-0.118432798796906,-216.12175355,-0.138280056607515,15,11,-4,0.814167694617381,0.488576895893277,1.00710483217015,0.753651147814028,0.795053967915929,0.733333333333333,1.77380726752945,1.45627606509857,1.11422265871985,0.6363508075991,1.14235347395185,NA,NA,NA
"56",42,"Plug","ML.520465.rep1","75",NA,NA,"A","M","L",1233.49597491,1073.48810991,0.256536862940789,99.9459955741667,-0.327810940089783,273.540551121364,0.649637789937798,1010.27508791,0.685638705487011,144.447658890845,0.530820476698051,122.212384289,0.099919566284544,212.994957848001,0.358407807153128,285.963341559778,0.921457703342993,22.2663887148333,0.427730506374327,44.5016633166784,0.858631416787834,12.4227904384141,0.271819913405194,-60.5455932733623,-0.29122998278467,-63.213022,0.429101842546222,12,10,-2,1.22278420047665,1.44525709170264,1.04541480371918,0.778659533202082,0.941114371536635,0.833333333333333,-0.304808516327056,-1.61928847326653,1.4184176438246,0.551704061408504,2.67267127861177,0.713208069609108,0.121591196790064,0.834799266399172
"60",45,"Seed","MH.928535.rep1","65","55","35","A","M","H",1284.802442172,807.931535222,-0.918088144631722,92.6671112888,-0.866744070398352,269.661559222178,0.428639418885372,689.036706,-0.855841788239855,88.971986527027,-0.912054700310861,87.20857975,-1.21550033836196,168.923199680698,-0.816022543233188,268.144821678571,0.353397542893847,-5.45853153879999,-0.348756267963606,-3.69512476177296,-0.0453106299125098,-1.51673754360638,-0.0752418759915247,-100.73835954148,-1.24466196211856,-118.894829222,0.0622463563918668,10,8,-2,0.941095266023905,0.960124744255198,0.994375403198063,0.626426696366906,0.852840464768675,0.8,1.40237514149167,1.05227682710501,0.824463470515188,-1.90375058214469,0.932200021581984,NA,NA,NA
"63",47,"Plug","MH.831258.rep1","92.5",NA,NA,"A","M","H",1352.41018765,839.44081473,-0.189684221406518,137.489888192222,0.329838204721246,226.753077328889,-0.805232791175046,839.44081473,-0.1638700880944,84.8099994745454,-0.748282326328071,137.489888192222,0.383440584598838,113.093007610793,-1.65362785571809,226.753077328889,-0.848774370296239,0,0.0536023798775918,-52.6798887176768,-1.07812053104932,0,-0.0435415791211933,-113.660069718096,-0.848395064543045,0,0.0258141333121187,9,9,0,1,0.616845359245431,1,0.498749604384683,1,1,1.16251113154976,-2.26863448690082,1.05407328116588,2.05360223011412,0.863909959823197,0.889304511581189,0.359844924471162,1.24914943605235
"66",49,"Seed","MH.831258.rep1","99.5","75","35","A","M","H",1352.41018765,839.44081473,-0.189684221406518,137.489888192222,0.329838204721246,226.753077328889,-0.805232791175046,576.770484,-0.654614095307637,94.7359794046243,-0.851022630053571,118.883074166667,-0.681687772593987,105.942149625714,-1.08679239392158,196.656464866667,-1.35737307141478,-18.6068140255555,-1.01152597731523,-42.7539087875979,-1.18086083477482,-30.0966124622222,-0.552140280239734,-120.810927703175,-0.281559602746535,-262.67033073,-0.464929873901119,9,6,-3,0.86466776378826,0.689039613387245,0.867271426625142,0.467213723728445,0.687088921433388,0.666666666666667,-2.06673381929815,-2.58012145916447,1.68569025788681,1.34966236575595,3.45107300150555,NA,NA,NA
