,Species,Section,subclade,compound.section
Castanea_dentata,,outgroup,,
Castanopsis_fissa,,outgroup,,
Lithocarpus_hancei,,outgroup,,
Quercus_acerifolia,acerifolia,Lobatae,ENA,Lobatae - ENA
Quercus_acutidens,acutidens,Quercus - American,MX.SW,Quercus - American - MX.SW
Quercus_acutifolia,acutifolia,Lobatae,MX.SW,Lobatae - MX.SW
Quercus_acutissima,,Cerris,,
Quercus_affinis,affinis,Lobatae,MX.SW,Lobatae - MX.SW
Quercus_agrifolia,agrifolia,Lobatae,MX.SW,Lobatae - MX.SW
Quercus_ajoensis,ajoensis,Quercus - American,MX.SW,Quercus - American - MX.SW
Quercus_alba,alba,Quercus - American,ENA,Quercus - American - ENA
Quercus_aliena,aliena,Quercus - Eurasian,Roburoids,Quercus - Eurasian
Quercus_arizonica,arizonica,Quercus - American,MX.SW,Quercus - American - MX.SW
Quercus_arkansana,arkansana,Lobatae,ENA,Lobatae - ENA
Quercus_austrina,austrina,Quercus - American,ENA,Quercus - American - ENA
Quercus_baronii,,Cerris,,
Quercus_benthamii,benthamii,Lobatae,MX.SW,Lobatae - MX.SW
Quercus_berberidifolia,berberidifolia,Quercus - American,MX.SW,Quercus - American - MX.SW
Quercus_bicolor,bicolor,Quercus - American,ENA,Quercus - American - ENA
Quercus_boissieri,,Quercus - Eurasian,Roburoids,Quercus - Eurasian
Quercus_boyntonii,boyntonii,Quercus - American,ENA,Quercus - American - ENA
Quercus_brandegeei,brandegeei,Virentes,Virentes,Virentes
Quercus_buckleyi,buckleyi,Lobatae,ENA,Lobatae - ENA
Quercus_canariensis,canariensis,Quercus - Eurasian,Roburoids,Quercus - Eurasian
Quercus_canbyi,canbyi,Lobatae,MX.SW,Lobatae - MX.SW
Quercus_candicans,candicans,Lobatae,MX.SW,Lobatae - MX.SW
Quercus_castanea,castanea,Lobatae,MX.SW,Lobatae - MX.SW
Quercus_chapmanii,chapmanii,Quercus - American,ENA,Quercus - American - ENA
Quercus_chrysolepis,chrysolepis,Protobalanus,Protobalanus,Protobalanus
Quercus_coccinea,coccinea,Lobatae,ENA,Lobatae - ENA
Quercus_conzattii,conzattii,Lobatae,MX.SW,Lobatae - MX.SW
Quercus_copeyensis,copeyensis,Quercus - American,MX.SW,Quercus - American - MX.SW
Quercus_cornelius-mulleri,cornelius-mulleri,Quercus - American,CA,Quercus - American - CA
Quercus_corrugata,corrugata,Quercus - American,MX.SW,Quercus - American - MX.SW
Quercus_cortesii,cortesii,Lobatae,MX.SW,Lobatae - MX.SW
Quercus_costaricensis,costaricensis,Lobatae,MX.SW,Lobatae - MX.SW
Quercus_crassifolia,crassifolia,Lobatae,MX.SW,Lobatae - MX.SW
